"Gene_class",".y.","group1","group2","n1","n2","statistic","df","p","notes","p_adjusted","p.adj.signif"
"MLS",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"MLS",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"MLS",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"MLS",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"MLS",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"MLS",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"aminoglycoside",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"aminoglycoside",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"aminoglycoside",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"aminoglycoside",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"aminoglycoside",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"aminoglycoside",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"bacitracin",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"bacitracin",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"bacitracin",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"bacitracin",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"bacitracin",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"bacitracin",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"beta-lactam",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"beta-lactam",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"beta-lactam",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"beta-lactam",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"beta-lactam",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"beta-lactam",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"diaminopyrimidine",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
